timestamp,client_id,dataset_name,round,xai_method_used,accuracy,TPR,FPR,f1_score
2025-07-25 22:06:53,0,ocppflowmeter,1,both,0.9961389961389961,0.9961389961389961,0.0009652509652509653,0.9961298200140508
2025-07-25 22:07:56,0,ocppflowmeter,2,both,0.9922779922779923,0.9922779922779924,0.0019305019305019305,0.9922760244048952
2025-07-25 22:09:01,0,ocppflowmeter,3,both,0.9992277992277993,0.9992277992277993,0.00019305019305019305,0.9992277963499215
2025-07-25 22:10:03,0,ocppflowmeter,4,both,0.9961389961389961,0.9961389961389961,0.0009652509652509653,0.9961386363721073
2025-07-25 22:11:09,0,ocppflowmeter,5,both,0.9992277992277993,0.9992277992277993,0.00019305019305019305,0.9992277963499215
2025-07-25 22:12:10,0,ocppflowmeter,6,both,0.9984555984555985,0.9984555984555985,0.0003861003861003861,0.9984555754323194
2025-07-25 22:13:09,0,ocppflowmeter,7,both,0.9984555984555985,0.9984555984555985,0.0003861003861003861,0.9984555754323194
2025-07-25 22:14:10,0,ocppflowmeter,8,both,0.9984555984555985,0.9984555984555985,0.0003861003861003861,0.9984555754323194
2025-07-25 22:15:10,0,ocppflowmeter,9,both,0.9984555984555985,0.9984555984555985,0.0003861003861003861,0.9984555754323194
2025-07-25 22:16:12,0,ocppflowmeter,10,both,0.9984555984555985,0.9984555984555985,0.0003861003861003861,0.9984555754323194
2025-07-25 22:17:11,0,ocppflowmeter,11,both,0.9976833976833976,0.9976833976833976,0.0005791505791505792,0.9976803642323593
2025-07-25 22:18:12,0,ocppflowmeter,12,both,0.9984555984555985,0.9984555984555985,0.0003861003861003861,0.9984555754323194
2025-07-25 22:19:13,0,ocppflowmeter,13,both,0.9984555984555985,0.9984555984555985,0.0003861003861003861,0.9984555955777207
2025-07-25 22:20:11,0,ocppflowmeter,14,both,0.9984555984555985,0.9984555984555985,0.0003861003861003861,0.9984555754323194
2025-07-25 22:21:12,0,ocppflowmeter,15,both,0.9976833976833976,0.9976833976833976,0.0005791505791505791,0.9976833199783837
2025-07-25 22:22:11,0,ocppflowmeter,16,both,0.9992277992277993,0.9992277992277993,0.00019305019305019305,0.9992277963499215
2025-07-25 22:23:10,0,ocppflowmeter,17,both,0.9984555984555985,0.9984555984555985,0.0003861003861003861,0.9984555754323194
2025-07-25 22:24:11,0,ocppflowmeter,18,both,0.9984555984555985,0.9984555984555985,0.0003861003861003861,0.9984555754323194
2025-07-25 22:25:13,0,ocppflowmeter,19,both,0.9984555984555985,0.9984555984555985,0.0003861003861003861,0.9984555754323194
2025-07-25 22:26:14,0,ocppflowmeter,20,both,0.9984555984555985,0.9984555984555985,0.0003861003861003861,0.9984555754323194
