timestamp,dataset_name,round,Attack_precision,Attack_recall,Attack_f1_score,Attack_support,Normal_precision,Normal_recall,Normal_f1_score,Normal_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1_score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1_score,weighted avg_support
2025-09-03 23:13:38,cicflowmeter,1,0.993414863593603,0.9962264150943396,0.9948186528497409,1060.0,0.9847328244274809,0.9735849056603774,0.9791271347248577,265.0,0.9916981132075472,0.989073844010542,0.9849056603773585,0.9869728937872992,1325.0,0.9916784557603785,0.9916981132075472,0.9916803492247642,1325.0
2025-09-03 23:13:39,cicflowmeter,2,0.9971563981042654,0.9924528301886792,0.9947990543735225,1060.0,0.9703703703703703,0.9886792452830189,0.9794392523364486,265.0,0.9916981132075472,0.9837633842373179,0.9905660377358491,0.9871191533549855,1325.0,0.9917991925574863,0.9916981132075472,0.9917270939661078,1325.0
2025-09-03 23:13:39,cicflowmeter,3,0.9962335216572504,0.9981132075471698,0.9971724787935909,1060.0,0.9923954372623575,0.9849056603773585,0.9886363636363636,265.0,0.9954716981132076,0.994314479459804,0.9915094339622641,0.9929044212149774,1325.0,0.9954659047782719,0.9954716981132076,0.9954652557621454,1325.0
2025-09-03 23:13:40,cicflowmeter,4,0.9971671388101983,0.9962264150943396,0.9966965549787635,1060.0,0.9849624060150376,0.9886792452830189,0.9868173258003766,265.0,0.9947169811320755,0.9910647724126179,0.9924528301886792,0.9917569403895701,1325.0,0.9947261922511662,0.9947169811320755,0.9947207091430862,1325.0
2025-09-03 23:13:40,cicflowmeter,5,0.9971698113207547,0.9971698113207547,0.9971698113207547,1060.0,0.9886792452830189,0.9886792452830189,0.9886792452830189,265.0,0.9954716981132076,0.9929245283018868,0.9929245283018868,0.9929245283018868,1325.0,0.9954716981132076,0.9954716981132076,0.9954716981132076,1325.0
2025-09-03 23:13:41,cicflowmeter,6,0.9971724787935909,0.9981132075471698,0.9976426214049976,1060.0,0.9924242424242424,0.9886792452830189,0.9905482041587902,265.0,0.9962264150943396,0.9947983606089167,0.9933962264150944,0.994095412781894,1325.0,0.9962228315197212,0.9962264150943396,0.996223737955756,1325.0
2025-09-03 23:13:41,cicflowmeter,7,0.9971724787935909,0.9981132075471698,0.9976426214049976,1060.0,0.9924242424242424,0.9886792452830189,0.9905482041587902,265.0,0.9962264150943396,0.9947983606089167,0.9933962264150944,0.994095412781894,1325.0,0.9962228315197212,0.9962264150943396,0.996223737955756,1325.0
2025-09-03 23:13:42,cicflowmeter,8,0.9971777986829727,1.0,0.9985869053226566,1060.0,1.0,0.9886792452830189,0.9943074003795066,265.0,0.9977358490566037,0.9985888993414864,0.9943396226415094,0.9964471528510817,1325.0,0.9977422389463781,0.9977358490566037,0.9977310043340266,1325.0
2025-09-03 23:13:42,cicflowmeter,9,0.9962406015037594,1.0,0.9981167608286252,1060.0,1.0,0.9849056603773585,0.9923954372623575,265.0,0.9969811320754717,0.9981203007518797,0.9924528301886792,0.9952560990454913,1325.0,0.9969924812030075,0.9969811320754717,0.9969724961153715,1325.0
2025-09-03 23:13:43,cicflowmeter,10,0.9962335216572504,0.9981132075471698,0.9971724787935909,1060.0,0.9923954372623575,0.9849056603773585,0.9886363636363636,265.0,0.9954716981132076,0.994314479459804,0.9915094339622641,0.9929044212149774,1325.0,0.9954659047782719,0.9954716981132076,0.9954652557621454,1325.0
2025-09-03 23:13:43,cicflowmeter,11,0.9971751412429378,0.9990566037735849,0.998114985862394,1060.0,0.9961977186311787,0.9886792452830189,0.9924242424242424,265.0,0.9969811320754717,0.9966864299370582,0.9938679245283019,0.9952696141433182,1325.0,0.9969796567205861,0.9969811320754717,0.9969768371747636,1325.0
2025-09-03 23:13:44,cicflowmeter,12,0.9971777986829727,1.0,0.9985869053226566,1060.0,1.0,0.9886792452830189,0.9943074003795066,265.0,0.9977358490566037,0.9985888993414864,0.9943396226415094,0.9964471528510817,1325.0,0.9977422389463781,0.9977358490566037,0.9977310043340266,1325.0
2025-09-03 23:13:44,cicflowmeter,13,0.9971777986829727,1.0,0.9985869053226566,1060.0,1.0,0.9886792452830189,0.9943074003795066,265.0,0.9977358490566037,0.9985888993414864,0.9943396226415094,0.9964471528510817,1325.0,0.9977422389463781,0.9977358490566037,0.9977310043340266,1325.0
2025-09-03 23:13:44,cicflowmeter,14,0.9971777986829727,1.0,0.9985869053226566,1060.0,1.0,0.9886792452830189,0.9943074003795066,265.0,0.9977358490566037,0.9985888993414864,0.9943396226415094,0.9964471528510817,1325.0,0.9977422389463781,0.9977358490566037,0.9977310043340266,1325.0
2025-09-03 23:13:45,cicflowmeter,15,0.9971777986829727,1.0,0.9985869053226566,1060.0,1.0,0.9886792452830189,0.9943074003795066,265.0,0.9977358490566037,0.9985888993414864,0.9943396226415094,0.9964471528510817,1325.0,0.9977422389463781,0.9977358490566037,0.9977310043340266,1325.0
2025-09-03 23:13:45,cicflowmeter,16,0.9971777986829727,1.0,0.9985869053226566,1060.0,1.0,0.9886792452830189,0.9943074003795066,265.0,0.9977358490566037,0.9985888993414864,0.9943396226415094,0.9964471528510817,1325.0,0.9977422389463781,0.9977358490566037,0.9977310043340266,1325.0
2025-09-03 23:13:46,cicflowmeter,17,0.9971777986829727,1.0,0.9985869053226566,1060.0,1.0,0.9886792452830189,0.9943074003795066,265.0,0.9977358490566037,0.9985888993414864,0.9943396226415094,0.9964471528510817,1325.0,0.9977422389463781,0.9977358490566037,0.9977310043340266,1325.0
