,rank,disr,diss,dior,dios,diar,tots,rank,disr,diss,dior,dios,diar,tots,label
0,453.3,0.0,0.0,8.65,1.85,0.0,1.85,146.45462742684794,0.0,0.0,3.265046142980138,0.8127277008872491,0.0,0.8127277008872491,0.0
1,442.42105263157896,0.0,0.0,3.210526315789474,1.2105263157894737,0.0,1.2105263157894737,142.2647437348464,0.0,0.0,1.873171623163388,0.6306035352846115,0.0,0.6306035352846115,0.0
2,429.8,0.0,0.0,4.65,1.15,0.0,1.15,131.41320930160472,0.0,0.0,3.375998877525381,0.7451598203705947,0.0,0.7451598203705947,0.0
3,426.9047619047619,0.0,0.0,3.1904761904761907,1.2380952380952381,0.0,1.2380952380952381,124.2368322044251,0.0,0.0,2.4211370803621928,0.768424485864545,0.0,0.768424485864545,0.0
4,420.45,0.0,0.0,0.6,0.5,0.0,0.5,125.2893388164078,0.0,0.0,0.9403246919632544,0.512989176042577,0.0,0.512989176042577,0.0
5,417.95,0.0,0.0,1.55,0.95,0.0,0.95,124.12789457058523,0.0,0.0,1.394538218230416,0.6048053188292997,0.0,0.6048053188292997,0.0
6,400.7894736842105,0.0,0.0,4.2105263157894735,1.0526315789473684,0.0,1.0526315789473684,105.98405485279818,0.0,0.0,1.5121341566151925,0.7798635358208024,0.0,0.7798635358208024,0.0
7,411.6,0.0,0.0,2.85,1.2,0.0,1.2,119.11666108218625,0.0,0.0,2.1343062474478063,0.6958523739384593,0.0,0.6958523739384593,0.0
8,410.0952380952381,0.0,0.0,0.9047619047619048,0.7142857142857143,0.0,0.7142857142857143,115.57374475282211,0.0,0.0,0.9952267030562386,0.46291004988627577,0.0,0.46291004988627577,0.0
9,411.0,0.0,0.0,0.42105263157894735,0.3684210526315789,0.05263157894736842,0.42105263157894735,121.2568440221921,0.0,0.0,1.0173926082384541,0.495594627783352,0.22941573387056172,0.5072572735017882,0.0
10,407.4761904761905,0.0,0.0,0.8095238095238095,0.8571428571428571,0.0,0.8571428571428571,114.99983436841075,0.0,0.0,0.9283882603225668,0.4780914437337574,0.0,0.4780914437337574,0.0
11,408.05,0.0,0.0,1.05,0.6,0.0,0.6,117.67281803910008,0.0,0.0,1.0990426455975697,0.5982430416161189,0.0,0.5982430416161189,0.0
12,393.72222222222223,0.0,0.0,1.8333333333333333,0.8333333333333334,0.0,0.8333333333333334,105.47695904266908,0.0,0.0,1.1504474832710558,0.5144957554275265,0.0,0.5144957554275265,0.0
13,407.35,0.0,0.0,1.65,0.95,0.0,0.95,116.06317472099317,0.0,0.0,1.1367080817685318,0.5104177855340405,0.0,0.5104177855340405,0.0
14,407.6842105263158,0.0,0.0,1.368421052631579,0.6842105263157895,0.0,0.6842105263157895,119.47433598503207,0.0,0.0,1.1647854507156372,0.5823927253578186,0.0,0.5823927253578186,0.0
15,406.10526315789474,0.0,0.0,2.8421052631578947,0.8947368421052632,0.0,0.8947368421052632,116.84077234369578,0.0,0.0,1.803181074740996,0.6578362547106201,0.0,0.6578362547106201,0.0
16,404.85,0.0,0.0,1.8,1.0,0.0,1.0,113.06042864908922,0.0,0.0,1.2814465510343749,0.7254762501100116,0.0,0.7254762501100116,0.0
17,405.35,0.0,0.0,0.7,0.75,0.0,0.75,113.93270174236979,0.0,0.0,0.8013147091860318,0.4442616583193193,0.0,0.4442616583193193,0.0
18,404.8,0.0,0.0,0.8,0.7,0.0,0.7,113.76457685663152,0.0,0.0,1.0052493799000692,0.6569466853317862,0.0,0.6569466853317862,0.0
19,403.5238095238095,0.0,0.0,0.7619047619047619,0.7619047619047619,0.0,0.7619047619047619,110.83799846966699,0.0,0.0,0.8309489698388166,0.5389584311207967,0.0,0.5389584311207967,0.0
20,404.35,0.0,0.0,0.45,0.55,0.0,0.55,113.46006716949034,0.0,0.0,0.6863327411532597,0.5104177855340405,0.0,0.5104177855340405,0.0
21,404.2,0.0,0.0,0.7,0.65,0.0,0.65,113.29728012715277,0.0,0.0,0.8645047258706176,0.4893604849295929,0.0,0.4893604849295929,0.0
22,404.55,0.0,0.0,0.5,0.5,0.0,0.5,112.58656318818119,0.0,0.0,0.6069769786668839,0.512989176042577,0.0,0.512989176042577,0.0
23,405.10526315789474,0.0,0.0,0.7368421052631579,0.7894736842105263,0.0,0.7894736842105263,116.0104855111727,0.0,0.0,0.9911892555667042,0.5353033790313108,0.0,0.5353033790313108,0.0
24,403.9,0.0,0.0,0.65,0.65,0.0,0.65,112.97782735423891,0.0,0.0,0.7451598203705946,0.5871429486123998,0.0,0.5871429486123998,0.0
25,403.8,0.0,0.0,1.75,0.8,0.0,0.8,112.87282083925486,0.0,0.0,1.6503588126605426,0.6155870112510924,0.0,0.6155870112510924,0.0
26,403.7,0.0,0.0,1.95,0.85,0.0,1.05,112.76855664776885,0.0,0.0,2.0124611797498106,0.5871429486123998,0.0,0.7591546545162483,0.0
27,403.6,0.0,0.0,1.2,0.6,0.65,1.1,112.6650368406978,0.0,0.0,1.0563093645728086,0.5026246899500346,1.3088765773505313,0.7880689256524124,0.0
28,403.45,0.0,0.0,1.2,0.9,0.45,1.15,112.51080649851981,0.0,0.0,1.1964860832322377,0.5525062514530824,0.8870412083230171,0.4893604849295929,0.0
29,397.6842105263158,0.0,0.0,1.6842105263157894,0.8947368421052632,0.0,0.8947368421052632,112.51718517215195,0.0,0.0,1.293257367998745,0.6578362547106201,0.0,0.6578362547106201,0.0
30,403.2,0.0,0.0,1.45,0.85,0.0,0.85,112.01202942917385,0.0,0.0,1.190974832912761,0.4893604849295929,0.0,0.4893604849295929,0.0
