timestamp,client_id,dataset_name,round,xai_method_used,Attack_precision,Attack_recall,Attack_f1_score,Attack_support,Normal_precision,Normal_recall,Normal_f1_score,Normal_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1_score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1_score,weighted avg_support
2025-08-10 17:58:08,0,cicflowmeter,1,both,0.9952785646836638,0.9943396226415094,0.9948088721094857,1060.0,0.9774436090225563,0.9811320754716981,0.9792843691148776,265.0,0.9916981132075472,0.9863610868531101,0.9877358490566037,0.9870466206121816,1325.0,0.9917115735514425,0.9916981132075472,0.991703971510564,1325.0
2025-08-10 17:59:35,0,cicflowmeter,2,both,0.995291902071563,0.9971698113207547,0.9962299717247879,1060.0,0.9885931558935361,0.9811320754716981,0.9848484848484849,265.0,0.9939622641509434,0.9919425289825496,0.9891509433962264,0.9905392282866363,1325.0,0.9939521528359577,0.9939622641509434,0.9939536743495272,1325.0
2025-08-10 18:01:00,0,cicflowmeter,3,both,0.995291902071563,0.9971698113207547,0.9962299717247879,1060.0,0.9885931558935361,0.9811320754716981,0.9848484848484849,265.0,0.9939622641509434,0.9919425289825496,0.9891509433962264,0.9905392282866363,1325.0,0.9939521528359577,0.9939622641509434,0.9939536743495272,1325.0
2025-08-10 18:02:24,0,cicflowmeter,4,both,0.9943714821763602,1.0,0.9971777986829727,1060.0,1.0,0.9773584905660377,0.9885496183206107,265.0,0.9954716981132076,0.9971857410881801,0.9886792452830189,0.9928637085017917,1325.0,0.995497185741088,0.9954716981132076,0.9954521626105003,1325.0
2025-08-10 18:03:50,0,cicflowmeter,5,both,0.9962370649106302,0.9990566037735849,0.9976448422044277,1060.0,0.9961832061068703,0.9849056603773585,0.9905123339658444,265.0,0.9962264150943396,0.9962101355087503,0.9919811320754717,0.994078588085136,1325.0,0.9962262931498783,0.9962264150943396,0.9962183405567111,1325.0
2025-08-10 18:05:15,0,cicflowmeter,6,both,0.9953051643192489,1.0,0.9976470588235294,1060.0,1.0,0.9811320754716981,0.9904761904761905,265.0,0.9962264150943396,0.9976525821596245,0.9905660377358491,0.9940616246498599,1325.0,0.9962441314553991,0.9962264150943396,0.9962128851540616,1325.0
2025-08-10 18:06:41,0,cicflowmeter,7,both,0.9953051643192489,1.0,0.9976470588235294,1060.0,1.0,0.9811320754716981,0.9904761904761905,265.0,0.9962264150943396,0.9976525821596245,0.9905660377358491,0.9940616246498599,1325.0,0.9962441314553991,0.9962264150943396,0.9962128851540616,1325.0
2025-08-10 18:08:06,0,cicflowmeter,8,both,0.9953051643192489,1.0,0.9976470588235294,1060.0,1.0,0.9811320754716981,0.9904761904761905,265.0,0.9962264150943396,0.9976525821596245,0.9905660377358491,0.9940616246498599,1325.0,0.9962441314553991,0.9962264150943396,0.9962128851540616,1325.0
2025-08-10 18:09:30,0,cicflowmeter,9,both,0.9953051643192489,1.0,0.9976470588235294,1060.0,1.0,0.9811320754716981,0.9904761904761905,265.0,0.9962264150943396,0.9976525821596245,0.9905660377358491,0.9940616246498599,1325.0,0.9962441314553991,0.9962264150943396,0.9962128851540616,1325.0
2025-08-10 18:10:55,0,cicflowmeter,10,both,0.9953051643192489,1.0,0.9976470588235294,1060.0,1.0,0.9811320754716981,0.9904761904761905,265.0,0.9962264150943396,0.9976525821596245,0.9905660377358491,0.9940616246498599,1325.0,0.9962441314553991,0.9962264150943396,0.9962128851540616,1325.0
2025-08-10 18:12:19,0,cicflowmeter,11,both,0.9953051643192489,1.0,0.9976470588235294,1060.0,1.0,0.9811320754716981,0.9904761904761905,265.0,0.9962264150943396,0.9976525821596245,0.9905660377358491,0.9940616246498599,1325.0,0.9962441314553991,0.9962264150943396,0.9962128851540616,1325.0
2025-08-10 18:13:45,0,cicflowmeter,12,both,0.9953051643192489,1.0,0.9976470588235294,1060.0,1.0,0.9811320754716981,0.9904761904761905,265.0,0.9962264150943396,0.9976525821596245,0.9905660377358491,0.9940616246498599,1325.0,0.9962441314553991,0.9962264150943396,0.9962128851540616,1325.0
2025-08-10 18:15:10,0,cicflowmeter,13,both,0.9953051643192489,1.0,0.9976470588235294,1060.0,1.0,0.9811320754716981,0.9904761904761905,265.0,0.9962264150943396,0.9976525821596245,0.9905660377358491,0.9940616246498599,1325.0,0.9962441314553991,0.9962264150943396,0.9962128851540616,1325.0
2025-08-10 18:16:36,0,cicflowmeter,14,both,0.9953051643192489,1.0,0.9976470588235294,1060.0,1.0,0.9811320754716981,0.9904761904761905,265.0,0.9962264150943396,0.9976525821596245,0.9905660377358491,0.9940616246498599,1325.0,0.9962441314553991,0.9962264150943396,0.9962128851540616,1325.0
2025-08-10 18:18:00,0,cicflowmeter,15,both,0.9953051643192489,1.0,0.9976470588235294,1060.0,1.0,0.9811320754716981,0.9904761904761905,265.0,0.9962264150943396,0.9976525821596245,0.9905660377358491,0.9940616246498599,1325.0,0.9962441314553991,0.9962264150943396,0.9962128851540616,1325.0
2025-08-10 18:19:24,0,cicflowmeter,16,both,0.9953051643192489,1.0,0.9976470588235294,1060.0,1.0,0.9811320754716981,0.9904761904761905,265.0,0.9962264150943396,0.9976525821596245,0.9905660377358491,0.9940616246498599,1325.0,0.9962441314553991,0.9962264150943396,0.9962128851540616,1325.0
