timestamp,client_id,dataset_name,round,xai_method_used,Attack_precision,Attack_recall,Attack_f1_score,Attack_support,Normal_precision,Normal_recall,Normal_f1_score,Normal_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1_score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1_score,weighted avg_support
2025-08-10 18:56:33,0,cicflowmeter,1,both,0.9971537001897534,0.9915094339622641,0.9943235572374646,1060.0,0.966789667896679,0.9886792452830189,0.9776119402985075,265.0,0.9909433962264151,0.9819716840432162,0.9900943396226415,0.9859677487679861,1325.0,0.9910808937311385,0.9909433962264151,0.9909812338496732,1325.0
2025-08-10 18:58:03,0,cicflowmeter,2,both,0.9952963311382879,0.9981132075471698,0.9967027790861988,1060.0,0.9923664122137404,0.9811320754716981,0.9867172675521821,265.0,0.9947169811320755,0.9938313716760141,0.989622641509434,0.9917100233191904,1325.0,0.9947103473533784,0.9947169811320755,0.9947056767793954,1325.0
2025-08-10 18:59:29,0,cicflowmeter,3,both,0.995291902071563,0.9971698113207547,0.9962299717247879,1060.0,0.9885931558935361,0.9811320754716981,0.9848484848484849,265.0,0.9939622641509434,0.9919425289825496,0.9891509433962264,0.9905392282866363,1325.0,0.9939521528359577,0.9939622641509434,0.9939536743495272,1325.0
2025-08-10 19:00:52,0,cicflowmeter,4,both,0.9962299717247879,0.9971698113207547,0.9966996699669967,1060.0,0.9886363636363636,0.9849056603773585,0.9867674858223062,265.0,0.9947169811320755,0.9924331676805758,0.9910377358490565,0.9917335778946514,1325.0,0.994711250107103,0.9947169811320755,0.9947132331380585,1325.0
2025-08-10 19:02:16,0,cicflowmeter,5,both,0.9952963311382879,0.9981132075471698,0.9967027790861988,1060.0,0.9923664122137404,0.9811320754716981,0.9867172675521821,265.0,0.9947169811320755,0.9938313716760141,0.989622641509434,0.9917100233191904,1325.0,0.9947103473533784,0.9947169811320755,0.9947056767793954,1325.0
2025-08-10 19:03:41,0,cicflowmeter,6,both,0.9953007518796992,0.9990566037735849,0.9971751412429378,1060.0,0.9961685823754789,0.9811320754716981,0.9885931558935361,265.0,0.9954716981132076,0.9957346671275891,0.9900943396226415,0.9928841485682369,1325.0,0.9954743179788551,0.9954716981132076,0.9954587441730576,1325.0
2025-08-10 19:05:05,0,cicflowmeter,7,both,0.9953007518796992,0.9990566037735849,0.9971751412429378,1060.0,0.9961685823754789,0.9811320754716981,0.9885931558935361,265.0,0.9954716981132076,0.9957346671275891,0.9900943396226415,0.9928841485682369,1325.0,0.9954743179788551,0.9954716981132076,0.9954587441730576,1325.0
2025-08-10 19:06:29,0,cicflowmeter,8,both,0.9953007518796992,0.9990566037735849,0.9971751412429378,1060.0,0.9961685823754789,0.9811320754716981,0.9885931558935361,265.0,0.9954716981132076,0.9957346671275891,0.9900943396226415,0.9928841485682369,1325.0,0.9954743179788551,0.9954716981132076,0.9954587441730576,1325.0
2025-08-10 19:07:53,0,cicflowmeter,9,both,0.9953007518796992,0.9990566037735849,0.9971751412429378,1060.0,0.9961685823754789,0.9811320754716981,0.9885931558935361,265.0,0.9954716981132076,0.9957346671275891,0.9900943396226415,0.9928841485682369,1325.0,0.9954743179788551,0.9954716981132076,0.9954587441730576,1325.0
2025-08-10 19:09:16,0,cicflowmeter,10,both,0.9943661971830986,0.9990566037735849,0.9967058823529412,1060.0,0.9961538461538462,0.9773584905660377,0.9866666666666667,265.0,0.9947169811320755,0.9952600216684724,0.9882075471698113,0.991686274509804,1325.0,0.9947237269772482,0.9947169811320755,0.9946980392156863,1325.0
2025-08-10 19:10:40,0,cicflowmeter,11,both,0.9953007518796992,0.9990566037735849,0.9971751412429378,1060.0,0.9961685823754789,0.9811320754716981,0.9885931558935361,265.0,0.9954716981132076,0.9957346671275891,0.9900943396226415,0.9928841485682369,1325.0,0.9954743179788551,0.9954716981132076,0.9954587441730576,1325.0
2025-08-10 19:12:06,0,cicflowmeter,12,both,0.9953007518796992,0.9990566037735849,0.9971751412429378,1060.0,0.9961685823754789,0.9811320754716981,0.9885931558935361,265.0,0.9954716981132076,0.9957346671275891,0.9900943396226415,0.9928841485682369,1325.0,0.9954743179788551,0.9954716981132076,0.9954587441730576,1325.0
2025-08-10 19:13:29,0,cicflowmeter,13,both,0.9943714821763602,1.0,0.9971777986829727,1060.0,1.0,0.9773584905660377,0.9885496183206107,265.0,0.9954716981132076,0.9971857410881801,0.9886792452830189,0.9928637085017917,1325.0,0.995497185741088,0.9954716981132076,0.9954521626105003,1325.0
2025-08-10 19:15:03,0,cicflowmeter,14,both,0.9953051643192489,1.0,0.9976470588235294,1060.0,1.0,0.9811320754716981,0.9904761904761905,265.0,0.9962264150943396,0.9976525821596245,0.9905660377358491,0.9940616246498599,1325.0,0.9962441314553991,0.9962264150943396,0.9962128851540616,1325.0
2025-08-10 19:16:27,0,cicflowmeter,15,both,0.9953007518796992,0.9990566037735849,0.9971751412429378,1060.0,0.9961685823754789,0.9811320754716981,0.9885931558935361,265.0,0.9954716981132076,0.9957346671275891,0.9900943396226415,0.9928841485682369,1325.0,0.9954743179788551,0.9954716981132076,0.9954587441730576,1325.0
2025-08-10 19:17:55,0,cicflowmeter,16,both,0.9953051643192489,1.0,0.9976470588235294,1060.0,1.0,0.9811320754716981,0.9904761904761905,265.0,0.9962264150943396,0.9976525821596245,0.9905660377358491,0.9940616246498599,1325.0,0.9962441314553991,0.9962264150943396,0.9962128851540616,1325.0
